Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650495292,0.60022442,0.628804955,0.659950605,0.714861037,0.726795356,0.768343559,0.470638537,0.36804868,0.317671406,0.354934747,0.386234308,0.356199462,0.382167021,0.31779262,0.280923745,0.328477563,0.350564925,0.367603553,0.370712715,0.336529268,0.322281551,0.352657946,0.349569775,0.321220358,0.23661162,0.245681347,0.246791187,0.228063107,0.22008783,0.22995231,0.234206001,0.247399813,0.253658663,0.252611993,0.251923125,0.252673974
Luxembourg,0.150494601,0.144205982,0.142025182,0.153607782,0.165311734,0.171652436,0.165040327,0.170188951,0.180416881,0.18321814,0.152194043,0.152434319,0.142279282,0.148023256,0.152151725,0.140260348,0.119961521,0.112393277,0.105065561,0.113198503,0.116237203,0.113630827,0.107393098,0.110058826,0.126421149,0.133744517,0.143743454,0.144154182,0.146047872,0.140437037,0.122164571,0.125637413,0.122970897,0.118755872,0.125494749,0.133935121,0.143520092,0.15689574,0.164534044,0.186407206,0.189190691,0.185855898,0.180452343,0.179138704,0.171334637,0.180416652,0.175756012,0.172630594,0.164492514,0.159387165,0.154924078,0.152853239,0.159676789,0.16716359,0.170232525,0.145788954,0.151514175
Netherlands,1.490256337,1.596158762,1.687680101,1.887815251,2.10523231,2.375271908,2.504778308,2.909297424,3.094854249,2.93744635,2.962243739,3.23072402,3.172731314,3.237050233,3.343940924,3.13990264,2.977560015,2.751897167,2.76504065,2.870528199,2.962253524,3.109104797,3.173163449,3.183733214,3.198448265,3.27864499,3.341027864,3.380822682,3.40907819,3.372511757,3.509862628,3.66159838,3.59586194,3.621391692,3.577596592,3.62455004,3.764006067,3.76581999,3.791074377,3.919479354,4.004071081,3.922472942,3.987086597,3.939799656,3.88544781,4.113281789,3.942049119,3.812845633,3.698715194,3.490674855,3.540612273,3.606062259,3.551792152,3.550973611,3.547961846,3.38463179,3.474543751
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106774448,0.10601073,0.108853011,0.109006096,0.102390528,0.103144088,0.119809145,0.108049034,0.122126361,0.11701427,0.111051778,0.104488439,0.102101383,0.11511218,0.113677469,0.117168634,0.119121586,0.118226242,0.114232,0.1125365,0.122006504,0.12170732,0.11293321,0.108443267,0.100671665,0.10613935,0.110123213,0.105961669,0.105848359,0.11179989,0.097366778,0.104596337
Norway,0.775522713,0.793417237,0.852055424,0.954599679,0.956039402,1.000445985,1.052509023,1.116192167,1.182761764,1.193585515,1.21103585,1.295329593,1.192939997,1.338659545,1.433552821,1.364046343,1.440617364,1.423718643,1.565150455,1.584780265,1.567602186,1.529434397,1.606862224,1.656349226,1.764675984,1.783431696,1.644450201,1.731831419,1.787151135,1.726111418,1.831646307,1.680157882,1.766344979,1.836957021,1.885673105,2.089833503,1.890004856,1.966175876,1.735316375,1.767422605,2.018796388,1.848794599,1.984576677,2.032281014,1.876513436,1.801419759,1.827071482,2.02325903,1.896773377,1.953340337,1.972489329,1.997855089,2.007132339,1.980439167,1.854222238,2.012702108,2.045226403
Poland,2.793791693,2.848241462,2.931479577,3.154920294,3.369837939,3.556516195,3.668916708,3.869707569,3.942230109,4.072522873,4.392969813,4.627878344,4.825495535,5.066504576,5.141709167,5.38426847,4.854501295,4.943010054,4.965746869,5.162100722,5.279192417,5.427936081,5.603884381,5.496858894,5.290283994,4.357187128,4.262990286,4.076627832,4.074651117,3.899448033,3.991401188,4.19021963,4.149146348,3.97511802,3.897798451,3.663088346,3.637643086,3.59848532,3.723143977,3.74838707,3.831643773,4.021132431,4.009735116,4.079922979,3.937019751,4.198229771,4.222549391,4.101268439,4.111015805,3.963397838,4.004332593,4.178475059,4.341242604,4.390684934,4.265093618,4.08304803,4.442018407
Portugal,0.179385451,0.19640365,0.210002016,0.213830425,0.23167906,0.276776742,0.304743876,0.331297592,0.36620477,0.383336008,0.38097764,0.377028903,0.42740204,0.450136313,0.47739042,0.463696924,0.455263519,0.492694295,0.510179819,0.531455501,0.542282131,0.573966982,0.587383772,0.651747286,0.703698924,0.714471215,0.741429681,0.749239274,0.771006975,0.798902201,0.87554512,0.902843465,0.915845973,0.999041504,1.021776028,1.055959722,1.071592917,1.063490372,1.092115339,1.071087947,1.069047999,1.061235223,1.069446035,1.03229351,1.041216543,1.098316162,1.047728153,0.956802967,1.050456823,1.071650937,1.04842114,1.121385661,1.086760385,1.107686486,1.054932423,0.953522868,0.956500828
Romania,1.003395263,1.070171553,1.194240614,1.270727109,1.460922669,1.555238954,1.650835798,1.739793042,1.892965566,1.906183013,2.079039035,2.240433223,2.375785858,2.558714093,2.609338923,2.634647691,2.64091383,2.618185354,2.599933289,2.581194535,2.573654329,2.628298189,2.725621126,2.776087286,2.780918178,2.646774989,2.247999145,1.982425899,1.926798702,1.817463084,1.997289571,1.98504562,1.883971085,1.723842601,1.516215444,1.513194911,1.5303782,1.588704546,1.588480188,1.646368214,1.649865131,1.683441561,1.624291735,1.628810075,1.423099012,1.436158683,1.471231053,1.414657238,1.319833616,1.369823965,1.37687136,1.377252091,1.400389363,1.427117091,1.394430457,1.32965525,1.403318455
Slovakia,0.384610383,0.398100935,0.40018952,0.44166624,0.461218873,0.510240617,0.546912364,0.575157844,0.598378191,0.629776849,0.659107903,0.683776037,0.718702871,0.754021768,0.775768086,0.788583991,0.782433202,0.774064522,0.776301949,0.836270487,0.862801863,0.85533651,0.874645939,0.879016552,0.891633639,0.894073502,0.799878367,0.769472139,0.755914006,0.744635741,0.755097423,0.760328727,0.746356998,0.754275297,0.760656081,0.785689967,0.808409406,0.815136522,0.789574168,0.768945155,0.8106638,0.782617703,0.734071255,0.759609337,0.6918866,0.737035637,0.709211483,0.68151268,0.698689072,0.652300614,0.658702751,0.661721523,0.699294889,0.687860498,0.66545611,0.651086816,0.709854271
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249472531,0.249874008,0.233572236,0.239968877,0.255419167,0.268191608,0.281369762,0.28775594,0.288561231,0.285579048,0.283054563,0.295896297,0.294391822,0.288766566,0.306648874,0.306672983,0.309435325,0.307681802,0.337111657,0.311425659,0.311976488,0.302886067,0.294330364,0.291177946,0.298697416,0.26937831,0.287921447,0.291019735,0.296929051,0.288329816,0.278585732,0.269967306
Spain,1.214663807,1.374489562,1.481551963,1.558869581,1.764749852,1.903537909,2.095922429,2.266424896,2.481256051,2.582522831,2.652584347,2.834347198,2.938535681,2.950665249,3.177906474,3.193258315,3.219182514,3.217679837,3.293904837,3.346504985,3.320218439,3.390091684,3.5149022,3.671227192,3.846195798,3.847516077,3.983466598,4.1728612,4.037404753,4.228889757,4.38987556,4.559645711,4.811202216,5.043176039,5.197333614,5.499493154,5.752271207,5.814270196,6.144730581,6.369587346,6.413209817,6.505919962,6.648575281,6.46493398,5.993301435,6.15557631,6.039465842,6.005973584,5.705607338,5.59998423,5.669864063,5.723907323,5.789199646,5.89348886,5.728983712,5.182009857,5.591630176
Sweden,1.414633262,1.508526953,1.545181958,1.650061576,1.64998115,1.751503129,1.783157403,1.836794158,1.943429645,1.798374154,1.906114469,2.025884006,1.999329261,2.325033502,2.452003716,2.307703884,2.289912464,2.177627479,2.164888511,2.292003361,2.489852886,2.580866533,2.526736538,2.469344908,2.41497429,2.456321808,2.329534745,2.347078198,2.321846776,2.322142221,2.348771794,2.2823745,2.362889314,2.557203231,2.482818804,2.302091762,2.469199466,2.311240436,2.214649996,2.385511172,2.45102985,2.303311284,2.338035376,2.301930874,2.110982084,2.237901835,2.212656999,2.348803031,2.200594996,2.190451669,2.264407399,2.223380741,2.295375782,2.248587397,2.33839253,2.225696606,2.283887149
Switzerland,0.656885903,0.705975067,0.753997187,0.791953101,0.819246151,0.896636446,0.91750873,0.903821176,0.999543641,0.955540555,0.991942993,0.947293635,1.052618382,1.036762488,1.033162939,1.106015563,1.104983149,1.082671199,1.125918548,1.090894078,1.165595749,1.223508294,1.216300097,1.225575446,1.145386424,1.193851383,1.226059908,1.245798476,1.243706307,1.306712062,1.238383208,1.196247563,1.279138468,1.286372203,1.344333282,1.311610576,1.400855618,1.304079759,1.290093321,1.271375287,1.219621839,1.269134842,1.254937776,1.296681171,1.292964417,1.259209117,1.195322754,1.263348288,1.296165393,1.237421751,1.209949,1.138033824,1.140648963,1.1584618,1.208843268,1.11228151,1.073902452
Turkey,0.32916004,0.377698381,0.390757004,0.455135855,0.49689671,0.528058249,0.584580866,0.653133229,0.740170011,0.754835121,0.841269633,0.947501683,1.03710123,1.096285313,1.034142838,1.07459188,1.084281964,1.183252504,1.222964706,1.287734068,1.389933225,1.514530296,1.726536762,1.898584718,1.863405375,2.023193188,2.065394007,2.171879593,2.360430047,2.285811377,2.558072247,2.790383835,2.918822217,2.993281034,2.914598231,3.112843297,2.82826986,3.094678733,3.277038545,3.509205278,3.588306071,3.980998758,4.227681921,4.242040142,4.299365014,4.535354733,4.845490037,5.145812191,5.108875535,5.263732906,5.773171596,6.072974052,6.434644709,6.363344531,6.603654182,6.441361235,6.827258413
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01037471,10.05460831,10.26895011,10.27926172,9.835404952,11.50091044,10.78044522,9.109990797,7.985801926,6.825066285,6.659118784,6.206660085,5.986400288,5.776754477,5.690101059,5.707643602,5.626441217,5.591655993,5.730940019,5.709138711,5.779773439,5.847952086,5.824373906,5.623389662,4.790007424,5.136892832,5.309079642,5.194761564,4.930446605,4.350134804,3.612268532,3.779983519,3.511191058,3.643159018,3.447587342,3.305108024,3.334732185
United Kingdom,8.338408743,8.378999673,8.381571061,8.681127713,8.995429406,9.183754876,9.013858549,9.14651457,9.6014993,9.11944496,8.59769709,8.774490369,8.938614936,8.989894296,9.410539835,8.572052063,8.33469041,8.226608738,8.259872428,8.256298926,8.606615308,8.845400128,8.830569223,8.948474246,8.959292721,9.030216854,9.220380408,9.163178816,9.269010179,9.157762797,9.18916301,9.634661389,9.467995555,9.569378602,9.521436143,9.592187854,9.682614933,9.475786813,9.626113822,9.67777609,9.786827938,9.667463081,9.378641822,9.207660861,8.756008331,8.961847034,8.481811087,8.587790415,8.557972266,8.080716167,8.196691241,8.110050681,8.089421266,8.055462247,7.867289847,7.060205619,7.179401539
Other Europe,0.666973507,0.702049339,0.712353921,0.784046607,0.837682865,0.92335823,1.07859371,1.125280092,1.178946319,1.307979141,1.318220751,1.4046825,1.507848354,1.64001903,1.777635549,1.731271677,1.720278723,1.790020429,1.927951705,2.010342047,2.56708076,2.695027609,2.729045819,2.812037288,2.729410192,1.926895797,1.703730645,1.49006775,1.286353646,1.103576626,1.130982586,1.238396601,1.329744099,1.350625147,1.23104673,1.317355812,1.374398769,1.439743455,1.519517381,1.650839584,1.628646515,1.667867742,1.617209666,1.656196587,1.683135937,1.801790675,1.761810008,1.651795703,1.750311738,1.601468704,1.706259855,1.81071018,1.800832939,1.883309069,1.840238753,1.760730933,1.619540029
Total Europe,44.68535494,46.04068597,47.39286039,50.55528552,54.21273159,57.73657722,59.29356788,62.1284063,65.69638159,64.81289958,64.17258696,67.79639733,68.97685664,71.6118927,74.28988334,72.44223509,70.59900171,69.28045822,69.93339703,71.76243533,85.7885161,87.21844051,89.00749383,89.97801985,89.60967842,90.57740201,89.47318445,86.54682267,85.10387682,83.33617737,85.0437539,87.11536466,86.86452502,87.60828042,87.08469922,88.09213298,89.05001177,88.69492922,90.2826819,91.6243492,92.11902904,92.9060345,92.09550323,91.63653003,86.29162804,89.5281965,87.51198028,87.26133269,86.45761436,83.18682023,83.95953481,85.08616655,85.73767061,86.06034977,84.79160576,78.9307298,82.38436466
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845821814,0.91020387,0.882081984,0.882735511,0.900186644,0.937984434,0.901264497,0.771817759,0.669528759,0.61511289,0.578332782,0.474266556,0.454156723,0.455922628,0.453947844,0.473871516,0.456853295,0.451548007,0.488601326,0.554032554,0.600614599,0.590729634,0.534406893,0.53956251,0.476875368,0.47105297,0.523316858,0.538602633,0.553673922,0.564022595,0.616780619,0.611045864,0.599327277,0.616683297,0.650360447,0.638583731,0.659687888
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468957349,1.677018102,1.701429714,1.72585789,1.669178362,1.677500985,1.673662342,1.451360501,1.213603883,1.014528722,0.902541915,0.925697456,0.936363856,0.915662682,0.890699909,0.918216975,0.892656371,0.923494213,0.916511055,1.026290311,1.022941133,1.087727372,1.061186008,1.075175826,1.017225163,1.102494114,1.082638373,1.171071042,1.061361162,1.061798291,0.961308843,0.982230925,1.000327602,1.106109689,1.111775089,1.032417843,1.105878633
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.865698512,2.931302074,2.997341364,3.106646713,3.058185693,3.093931548,3.090734699,3.050911525,2.693353231,2.399116206,2.155377548,1.876327753,1.654481866,1.558810602,1.465059042,1.331090623,1.498290011,1.52619709,1.672886717,1.777689416,1.827032401,1.966182391,2.178535933,2.297327827,2.0615905,2.211795331,2.510086421,2.639411121,2.651269308,2.706726603,2.568175776,2.622926336,2.759766774,3.065180198,3.035945436,2.893022892,2.849647999
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.39849954,35.00804038,36.15344873,36.78502037,36.92098612,36.27397139,35.77911514,34.43983105,32.10886982,29.29832722,27.72731945,26.68752794,25.23961933,25.19260867,25.51153494,25.97072575,26.38176374,26.27445899,26.81448227,27.05071744,27.01404877,28.21297113,28.36200386,28.49265339,27.07988364,28.13247899,29.09026761,29.15566787,28.78728451,28.85624604,28.3683672,28.99342497,29.1686476,30.24322892,30.02360698,28.88028669,31.29704441
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515174658,0.64118667,0.637859591,0.642178866,0.659845704,0.546810111,0.56156706,0.53629651,0.440255183,0.469633285,0.386568149,0.563074947,0.431169836,0.536887755,0.512484999,0.431353378,0.544453428,0.459235198,0.634027756,0.627864002,0.635762219,0.642466187,0.623420828,0.511400361,0.833764438,0.89843861,0.99719401,1.087076051,0.965683308,1.000938562,1.198164278,1.18635063,1.173971813,1.306941914,1.421227627,1.339170933,1.604922045
USSR,24.90074987,26.48237992,27.8315565,28.8728157,30.14790277,31.71569912,33.27247162,34.98042297,36.75607543,38.78863512,40.70291098,42.29015827,44.18767104,46.10120213,47.36346052,48.4258572,49.45771048,50.68891581,51.75760811,53.71374124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.681321512,1.649050064,1.717247987,1.727619774,1.787233429,1.87527068,1.852791888,1.756510809,1.889182941,1.853513519,1.830199164,1.888090545,1.86834908,1.864834555,2.113913806,2.15837309,2.165527057,2.220290361,2.035613254,2.029224039,2.025319156,1.896677935,2.031492291,1.90506274,1.89049791,1.91231156,2.012271687,1.955064588,1.963262136,2.029770264,1.937173523,1.854154145,1.914024762,1.921212399,1.924716918,1.87564842,1.968479337
Other CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370845157,1.306230026,1.356888975,1.515997264,1.453031135,1.485195428,1.240892074,1.052138528,0.841930163,0.708174537,0.618846238,0.666201688,0.629462742,0.626089386,0.602506998,0.582295897,0.570677752,0.570326753,0.600718884,0.646581928,0.672149805,0.676399176,0.724243698,0.694341094,0.67208621,0.684460544,0.732202869,0.76172778,0.725340124,0.744838758,0.740621669,0.746646651,0.777221864,0.848605946,0.821465974,0.799407764,0.838842245
Total CIS,24.90074987,26.48237992,27.8315565,28.8728157,30.14790277,31.71569912,33.27247162,34.98042297,36.75607543,38.78863512,40.70291098,42.29015827,44.18767104,46.10120213,47.36346052,48.4258572,49.45771048,50.68891581,51.75760811,53.71374124,43.14631854,44.12303118,45.44629835,46.38605639,46.44864708,45.89066458,45.1000277,43.05886669,39.85672398,36.35840638,34.19918525,33.08118689,31.21360343,31.15081628,31.55014753,31.86592723,32.51022166,32.42555061,33.16284126,33.71239969,33.79786808,35.07315383,35.51528951,35.51552375,34.03192323,35.41303212,36.94797783,37.30862108,36.70787447,36.96434111,36.39059191,36.99677952,37.3932877,39.10796237,38.98909847,37.45853828,40.32450256
Iran,0.350245475,0.381732622,0.419944765,0.461701459,0.506718994,0.59774834,0.654770146,0.742383134,0.887295385,1.006083254,1.172335652,1.319288206,1.49378224,1.460417416,1.576687239,1.461799085,1.467132175,1.655814001,1.965965369,2.124592365,2.318188879,2.171784464,2.328335525,2.374485768,2.59551152,2.920618838,3.16882329,3.504325801,3.242693671,3.631482292,3.808598929,4.14318014,4.270082332,4.447824207,4.793645765,5.027644639,5.371709877,5.854923609,5.962300104,6.595048566,6.985079526,7.632974032,8.114369067,8.361593911,8.588965757,8.723463913,9.116568979,9.215706765,9.560192795,9.994844085,9.935994776,10.39948217,10.83442909,11.18856129,11.7448099,12.02317914,12.19029192
Iraq,0.082817606,0.091338952,0.092234025,0.097986953,0.113282523,0.140966238,0.154292525,0.180731401,0.177701238,0.174038196,0.190221042,0.239190142,0.250412901,0.246558189,0.311387419,0.364900613,0.341104927,0.353266988,0.405778902,0.449616179,0.515744387,0.594030407,0.700792296,0.811518354,0.921392874,0.855805501,0.532639904,0.843721183,1.119127319,1.268490913,1.264667238,1.266542205,1.504566104,1.123956261,0.806080131,1.161584451,1.297602557,1.2333446,1.094662941,1.173758021,1.10996103,1.078855332,1.087844852,1.245286604,1.222248119,1.369528749,1.408932562,1.537286322,1.706754811,1.622450619,1.567385359,1.799143612,1.901398706,2.291713959,2.225107977,1.986157165,2.123094793
Israel,0.147648171,0.153539917,0.186275552,0.189624302,0.214314576,0.228777402,0.259613724,0.245932736,0.262156329,0.263267474,0.270527041,0.277349168,0.291232351,0.317992072,0.328515646,0.33327595,0.338962962,0.36629067,0.366524513,0.381406686,0.353726452,0.372083077,0.399017678,0.427657643,0.447403928,0.464897042,0.472607776,0.551514779,0.598926019,0.624854828,0.702757717,0.72827354,0.796372177,0.838060516,0.868581396,0.818538997,0.817967843,0.834419786,0.859812064,0.876921319,0.881235381,0.878653001,0.919135736,0.945881809,0.919108951,0.955830804,0.973726597,1.018583776,0.964040708,0.940686481,0.992445964,1.012728805,1.033240329,1.05022584,1.087388338,1.028635266,1.051429899
Kuwait,0.285197608,0.298373192,0.30369034,0.319595943,0.327372552,0.264267098,0.263364451,0.291449826,0.290390946,0.278643864,0.248424603,0.296274445,0.302901369,0.332686997,0.405818023,0.305006639,0.391351553,0.384920917,0.424920527,0.452815915,0.433998314,0.496974233,0.459058359,0.518377137,0.558181,0.329373613,0.166034511,0.294030958,0.360622457,0.420964199,0.541979135,0.536472363,0.558184518,0.687541342,0.713754449,0.76299532,0.771499218,0.816586435,0.975926549,1.090219379,1.202735113,1.156070289,1.123057083,1.214892728,1.257779726,1.414672016,1.452837388,1.513131073,1.546419853,1.571837317,1.633345034,1.6150952,1.64604922,1.677224867,1.726224873,1.614130895,1.738894798
Oman,0.00035057,0.0004387,0.00194754,0.00234687,0.00334264,0.00336926,0.05569741,0.06363798,0.05535329,0.05086038,0.04645691,0.05348303,0.051523808,0.059912555,0.069023617,0.06141016,0.064900791,0.085975018,0.080460311,0.116976941,0.120855676,0.113254447,0.127566846,0.123800676,0.140471505,0.17591037,0.233525688,0.224967235,0.215416829,0.204625984,0.237238755,0.244020728,0.250965508,0.257929664,0.296933594,0.412557658,0.455348674,0.495525619,0.513287913,0.477651244,0.573575165,0.62663835,0.624242713,0.734310942,0.72885159,0.866480545,0.942263352,1.026611472,1.147892937,1.142952733,1.208036795,1.210471876,1.300434513,1.37097306,1.362940085,1.335192012,1.499264964
Qatar,0.005079899,0.005114512,0.007327358,0.023182431,0.036427104,0.041492474,0.04133249,0.045723369,0.064875657,0.056563846,0.084403252,0.054216505,0.075539551,0.072462458,0.181317838,0.192131315,0.18381316,0.213598853,0.22267569,0.253476865,0.237996052,0.259455497,0.251471158,0.26474296,0.279883878,0.283815582,0.326926153,0.51943128,0.555454487,0.5634959,0.561568707,0.413630291,0.451326182,0.485957375,0.540961859,0.483116877,0.464296506,0.511302603,0.586569737,0.708733083,0.802300339,0.843381785,0.91925893,1.019094123,1.033246207,1.201968746,1.40663243,1.594997518,1.731171093,1.869912144,2.131970815,2.085637737,2.019562549,2.017468132,2.10659051,1.853049386,1.927189418
Saudi Arabia,0.846502378,0.85795774,0.870353602,0.883864971,0.898785969,0.946279629,0.947778834,1.015808642,1.083601272,1.149673571,0.911739071,1.054059498,1.244745027,1.387208628,1.680635832,1.511698734,1.804452265,1.986670569,2.152735283,2.575072955,2.627041668,2.824772324,2.994256991,3.132988446,3.083562953,3.342013326,3.500828087,3.534322703,3.610261158,4.174489583,4.068021106,4.206790291,4.284896461,4.509277152,4.591549171,4.805566572,5.12039672,5.332977701,5.649087648,6.128811554,6.332422174,6.590558162,6.878009919,7.543843968,7.90263448,8.73620041,9.183848633,9.738878542,9.781879408,10.53234393,10.86529121,11.15634446,11.07716777,10.94253365,10.79070657,10.61518399,10.82421316
United Arab Emirates,0.003076319,0.003283348,0.019464321,0.025000967,0.025088131,0.034580128,0.05269691,0.05634054,0.0730552,0.08026384,0.08589315,0.10868485,0.1786734,0.207002921,0.243217381,0.389363098,0.453342131,0.48947755,0.469854986,0.585168427,0.725880717,0.879794023,0.98307752,1.08677705,1.224593812,1.241829713,1.515014778,1.464104437,1.524493277,1.672826885,1.745535614,1.798876522,1.87724305,1.922806354,1.938128307,1.928814821,1.949637675,2.1300953,2.272159067,2.430235427,2.536553057,2.668654648,2.946099912,3.378241948,3.332070939,3.500970074,3.67535279,3.866759223,4.079681764,4.038183378,4.431467132,4.623483591,4.639606364,4.578217707,4.547959349,4.259306241,4.528432432
Other Middle East,0.216684332,0.223112958,0.228686432,0.245693308,0.256452526,0.2840749,0.304751106,0.302466551,0.350411677,0.395203071,0.423413622,0.46815994,0.51728738,0.566615276,0.643772366,0.650055608,0.685232704,0.799052802,0.855571384,0.923790661,0.972911922,0.987754878,1.029898332,1.065816155,1.085930573,1.153656283,1.228044169,1.27846818,1.320542671,1.383532381,1.446550052,1.488871846,1.587209612,1.727742642,1.753677768,1.772785026,1.82186314,1.89151965,1.969429969,2.036127658,2.237361761,2.305990225,2.35703109,2.473912797,2.489312399,2.498946662,2.364865709,2.239413451,2.162787163,2.138084944,1.994663111,1.963992868,2.039600299,1.968819194,1.996841201,1.883990448,1.957378829
